zip,cbsa,cbsa_title,urban_area,ua_title
95323,33700,"Modesto, CA",92539,"Waterford, CA"
95324,32900,"Merced, CA",NA,NA
95325,99999,NA,NA,NA
95326,33700,"Modesto, CA",58006,"Modesto, CA"
95327,43760,"Sonora, CA",83073,"Sonora--Twain Harte, CA"
95328,33700,"Modesto, CA",58006,"Modesto, CA"
95329,43760,"Sonora, CA",NA,NA
95330,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95333,32900,"Merced, CA",NA,NA
95334,32900,"Merced, CA",50581,"Livingston, CA"
95335,43760,"Sonora, CA",NA,NA
95336,44700,"Stockton-Lodi, CA",54145,"Manteca, CA"
95337,44700,"Stockton-Lodi, CA",54145,"Manteca, CA"
95338,99999,NA,NA,NA
95340,32900,"Merced, CA",56251,"Merced, CA"
95341,32900,"Merced, CA",56251,"Merced, CA"
95343,32900,"Merced, CA",NA,NA
95344,32900,"Merced, CA",NA,NA
95345,99999,NA,NA,NA
95346,43760,"Sonora, CA",83073,"Sonora--Twain Harte, CA"
95347,43760,"Sonora, CA",NA,NA
95348,32900,"Merced, CA",56251,"Merced, CA"
95350,33700,"Modesto, CA",58006,"Modesto, CA"
95351,33700,"Modesto, CA",58006,"Modesto, CA"
95352,33700,"Modesto, CA",NA,NA
95353,33700,"Modesto, CA",NA,NA
95354,33700,"Modesto, CA",58006,"Modesto, CA"
95355,33700,"Modesto, CA",58006,"Modesto, CA"
95356,33700,"Modesto, CA",58006,"Modesto, CA"
95357,33700,"Modesto, CA",58006,"Modesto, CA"
95358,33700,"Modesto, CA",58006,"Modesto, CA"
95360,33700,"Modesto, CA",62569,"Newman, CA"
95361,33700,"Modesto, CA",64270,"Oakdale, CA"
95363,33700,"Modesto, CA",67861,"Patterson, CA"
95364,43760,"Sonora, CA",NA,NA
95365,32900,"Merced, CA",NA,NA
95366,44700,"Stockton-Lodi, CA",75198,"Ripon, CA"
95367,33700,"Modesto, CA",58006,"Modesto, CA"
95368,33700,"Modesto, CA",58006,"Modesto, CA"
95369,32900,"Merced, CA",NA,NA
95370,43760,"Sonora, CA",83073,"Sonora--Twain Harte, CA"
95372,43760,"Sonora, CA",83073,"Sonora--Twain Harte, CA"
95373,43760,"Sonora, CA",NA,NA
95374,32900,"Merced, CA",NA,NA
95375,43760,"Sonora, CA",NA,NA
95376,44700,"Stockton-Lodi, CA",88280,"Tracy--Mountain House, CA"
95377,44700,"Stockton-Lodi, CA",88280,"Tracy--Mountain House, CA"
95378,44700,"Stockton-Lodi, CA",NA,NA
95379,43760,"Sonora, CA",NA,NA
95380,33700,"Modesto, CA",89083,"Turlock, CA"
95381,33700,"Modesto, CA",NA,NA
95382,33700,"Modesto, CA",89083,"Turlock, CA"
95383,43760,"Sonora, CA",83073,"Sonora--Twain Harte, CA"
95385,33700,"Modesto, CA",NA,NA
95386,33700,"Modesto, CA",92539,"Waterford, CA"
95387,33700,"Modesto, CA",NA,NA
95388,32900,"Merced, CA",56251,"Merced, CA"
95389,99999,NA,NA,NA
95391,44700,"Stockton-Lodi, CA",88280,"Tracy--Mountain House, CA"
95397,33700,"Modesto, CA",NA,NA
95401,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95402,42220,"Santa Rosa-Petaluma, CA",NA,NA
95403,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95404,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95405,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95406,42220,"Santa Rosa-Petaluma, CA",NA,NA
95407,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95409,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95410,46380,"Ukiah, CA",NA,NA
95412,42220,"Santa Rosa-Petaluma, CA",NA,NA
95415,46380,"Ukiah, CA",NA,NA
95416,42220,"Santa Rosa-Petaluma, CA",NA,NA
95417,46380,"Ukiah, CA",NA,NA
95418,46380,"Ukiah, CA",NA,NA
95419,42220,"Santa Rosa-Petaluma, CA",NA,NA
95420,46380,"Ukiah, CA",NA,NA
95421,42220,"Santa Rosa-Petaluma, CA",NA,NA
95422,17340,"Clearlake, CA",17479,"Clearlake, CA"
95423,17340,"Clearlake, CA",63232,"Nice, CA"
95424,17340,"Clearlake, CA",NA,NA
95425,42220,"Santa Rosa-Petaluma, CA",18181,"Cloverdale, CA"
95426,17340,"Clearlake, CA",NA,NA
95427,46380,"Ukiah, CA",NA,NA
95428,46380,"Ukiah, CA",NA,NA
95429,46380,"Ukiah, CA",NA,NA
95430,42220,"Santa Rosa-Petaluma, CA",NA,NA
95431,42220,"Santa Rosa-Petaluma, CA",83008,"Sonoma, CA"
95432,46380,"Ukiah, CA",NA,NA
95433,42220,"Santa Rosa-Petaluma, CA",NA,NA
95435,17340,"Clearlake, CA",NA,NA
95436,42220,"Santa Rosa-Petaluma, CA",NA,NA
95437,46380,"Ukiah, CA",30574,"Fort Bragg, CA"
95439,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95441,42220,"Santa Rosa-Petaluma, CA",NA,NA
95442,42220,"Santa Rosa-Petaluma, CA",83008,"Sonoma, CA"
95443,17340,"Clearlake, CA",63232,"Nice, CA"
95444,42220,"Santa Rosa-Petaluma, CA",80405,"Sebastopol, CA"
95445,46380,"Ukiah, CA",NA,NA
95446,42220,"Santa Rosa-Petaluma, CA",NA,NA
95448,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95449,46380,"Ukiah, CA",NA,NA
95450,42220,"Santa Rosa-Petaluma, CA",NA,NA
95451,17340,"Clearlake, CA",17514,"Clearlake Riviera, CA"
95452,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95453,17340,"Clearlake, CA",47071,"Lakeport, CA"
95454,46380,"Ukiah, CA",NA,NA
95456,46380,"Ukiah, CA",NA,NA
95457,17340,"Clearlake, CA",17479,"Clearlake, CA"
95458,17340,"Clearlake, CA",63232,"Nice, CA"
95459,46380,"Ukiah, CA",NA,NA
95460,46380,"Ukiah, CA",NA,NA
95461,17340,"Clearlake, CA",NA,NA
95462,42220,"Santa Rosa-Petaluma, CA",NA,NA
95463,46380,"Ukiah, CA",NA,NA
95464,17340,"Clearlake, CA",63232,"Nice, CA"
95465,42220,"Santa Rosa-Petaluma, CA",NA,NA
95466,46380,"Ukiah, CA",NA,NA
95467,17340,"Clearlake, CA",NA,NA
95468,46380,"Ukiah, CA",NA,NA
95469,46380,"Ukiah, CA",NA,NA
95470,46380,"Ukiah, CA",89380,"Ukiah, CA"
95471,42220,"Santa Rosa-Petaluma, CA",NA,NA
95472,42220,"Santa Rosa-Petaluma, CA",80405,"Sebastopol, CA"
95473,42220,"Santa Rosa-Petaluma, CA",NA,NA
95476,42220,"Santa Rosa-Petaluma, CA",83008,"Sonoma, CA"
95480,42220,"Santa Rosa-Petaluma, CA",NA,NA
95481,46380,"Ukiah, CA",NA,NA
95482,46380,"Ukiah, CA",89380,"Ukiah, CA"
95485,17340,"Clearlake, CA",63232,"Nice, CA"
95486,42220,"Santa Rosa-Petaluma, CA",NA,NA
95487,42220,"Santa Rosa-Petaluma, CA",NA,NA
95488,46380,"Ukiah, CA",NA,NA
95490,46380,"Ukiah, CA",95671,"Willits, CA"
95492,42220,"Santa Rosa-Petaluma, CA",79498,"Santa Rosa, CA"
95493,17340,"Clearlake, CA",NA,NA
95494,46380,"Ukiah, CA",NA,NA
95497,42220,"Santa Rosa-Petaluma, CA",NA,NA
95501,21700,"Eureka-Arcata, CA",28198,"Eureka, CA"
95502,21700,"Eureka-Arcata, CA",NA,NA
95503,21700,"Eureka-Arcata, CA",28198,"Eureka, CA"
95511,21700,"Eureka-Arcata, CA",NA,NA
95514,21700,"Eureka-Arcata, CA",NA,NA
95518,21700,"Eureka-Arcata, CA",NA,NA
95519,21700,"Eureka-Arcata, CA",52672,"McKinleyville, CA"
95521,21700,"Eureka-Arcata, CA",02930,"Arcata, CA"
95524,21700,"Eureka-Arcata, CA",02930,"Arcata, CA"
95525,21700,"Eureka-Arcata, CA",NA,NA
95526,21700,"Eureka-Arcata, CA",NA,NA
95527,99999,NA,NA,NA
95528,21700,"Eureka-Arcata, CA",NA,NA
95531,18860,"Crescent City, CA",20908,"Crescent City, CA"
95532,18860,"Crescent City, CA",NA,NA
95534,21700,"Eureka-Arcata, CA",NA,NA
95536,21700,"Eureka-Arcata, CA",NA,NA
95537,21700,"Eureka-Arcata, CA",28198,"Eureka, CA"
95538,18860,"Crescent City, CA",NA,NA
95540,21700,"Eureka-Arcata, CA",30979,"Fortuna, CA"
95542,21700,"Eureka-Arcata, CA",NA,NA
95543,18860,"Crescent City, CA",NA,NA
95545,21700,"Eureka-Arcata, CA",NA,NA
95546,21700,"Eureka-Arcata, CA",NA,NA
95547,21700,"Eureka-Arcata, CA",NA,NA
95548,18860,"Crescent City, CA",NA,NA
